Book Id,Title,Author,isbn,isbn13,publication_date,publisher,genres
54,Molly Hatchet - 5 of the Best,Molly Hatchet,1575606240,9781575606248,6/10/2003,Cherry Lane Music Company,
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,1595580271,9781595580276,11/1/2005,The New Press,Nonfiction/Writing: Essays/Criticism: Literary Criticism/Criticism/Language: Writing/Writing: Books About Books
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,1595962808,9781595962805,11/1/2005,Changeling Press,Romance/Fantasy: Paranormal/Anthologies/Adult Fiction: Erotica/Romance: Paranormal Romance/Fantasy/Paranormal: Shapeshifters/Fiction/Romance: Erotic Romance
58,Changeling (Changeling  #1),Delia Sherman,670059676,9780670059676,8/17/2006,Viking Juvenile,Fantasy/Young Adult/Fantasy: Urban Fantasy/Fiction/Paranormal: Fairies/Childrens: Middle Grade/Childrens/Adventure/Fairies: Fae/Fantasy: Magic
59,The Changeling Sea,Patricia A. McKillip,141312629,9780141312620,4/14/2003,Firebird,Fantasy/Young Adult/Romance/Fiction/Fantasy: Magic/Mythology: Mermaids/Fantasy: High Fantasy/Fantasy: Fairy Tales/Young Adult: Young Adult Fantasy/Science Fiction Fantasy
61,The Changeling,Zilpha Keatley Snyder,595321801,9780595321803,6/8/2004,iUniverse,Fiction/Young Adult/Fantasy/Childrens/Childrens: Middle Grade/Childrens: Juvenile/Fantasy: Magic/Classics/Young Adult: Coming Of Age/Novels
63,The Changeling,Kate Horsley,1590301943,9781590301944,4/12/2005,Shambhala,Historical: Historical Fiction/Fiction/Fantasy/Cultural: Ireland/Historical/Literature: 14th Century/Historical: Medieval/Literary Fiction/European Literature: Irish Literature/LGBT
66,The Changeling (Daughters of England  #15),Philippa Carr,449146979,9780449146972,8/28/1990,Ivy Books,Historical: Historical Fiction/Romance/Fiction/Romance: Historical Romance/Historical/European Literature: British Literature/Gothic/Mystery/Literature: 19th Century/Adult
67,The Known World,Edward P. Jones,61159174,9780061159176,8/29/2006,Amistad,Historical: Historical Fiction/Fiction/Cultural: African American/Historical/Literature/Novels/Literary Fiction/Book Club/Race/Literature: American
68,The Known World,Edward P. Jones/Kevin R. Free,006076273X,9780060762735,6/15/2004,HarperAudio,Historical: Historical Fiction/Fiction/Cultural: African American/Historical/Literature/Novels/Literary Fiction/Book Club/Race/Literature: American
69,The Known World,Edward P. Jones,60749911,9780060749910,6/15/2004,Harper,Historical: Historical Fiction/Fiction/Cultural: African American/Historical/Literature/Novels/Literary Fiction/Book Club/Race/Literature: American
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,273704745,9780273704744,5/15/2006,FT Press,Economics: Finance/Economics/Business/Nonfiction/Currency: Money/Politics/History
72,Artesia: Adventures in the Known World,Mark Smylie,1932386106,9781932386103,12/14/2005,Archaia,Fantasy/Games: Role Playing Games
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,374517193,9780374517199,6/1/1982,Farrar  Straus and Giroux,Nonfiction/Writing: Essays/Writing: Journalism/History/Science/Environment: Nature/Language: Writing/Anthologies: Collections/Literature/Travel
75,Uncommon Carriers,John McPhee,374280398,9780374280390,5/16/2006,Farrar Straus Giroux,Nonfiction/Writing: Essays/Travel/History/Transport/Business/Economics/Science/Writing: Journalism/Literature
76,Heirs of General Practice,John McPhee,374519749,9780374519742,4/1/1986,Farrar  Straus and Giroux,Nonfiction/Health: Medicine/Medical/Biography/Writing: Essays/Health/History/Science
77,The Control of Nature,John McPhee,374522596,9780374522599,9/1/1990,Farrar  Straus and Giroux,Nonfiction/Science/Environment: Nature/History/Environment/Writing: Essays/Science: Geology/Science: Natural History/Science: Engineering/Science: Geography
78,Annals of the Former World,John McPhee,374518734,9780374518738,1/6/1999,Farrar  Straus and Giroux,Science/Nonfiction/Science: Geology/History/Environment: Nature/Travel/Science: Natural History/Science: Geography/Writing: Essays/Environment
79,Coming Into the Country,John McPhee,374522871,9780374522872,4/1/1991,Farrar  Straus and Giroux,Nonfiction/Travel/Environment: Nature/History/Science/Environment/Adventure/Writing: Essays/Science: Natural History/Autobiography: Memoir
80,La Place de la Concorde Suisse,John McPhee,374519323,9780374519322,4/1/1994,Farrar  Straus and Giroux,Nonfiction/History/Travel/Writing: Essays/War/War: Military Fiction/Military: Military History/Writing: Journalism/Politics
81,Giving Good Weight,John McPhee,374516006,9780374516000,4/1/1994,Farrar  Straus and Giroux,Nonfiction/Writing: Essays/Language: Writing/Writing: Journalism/Food and Drink/History/Food and Drink: Food/Short Stories
83,Rising from the Plains,John McPhee,374520658,9780374520656,11/1/1987,Farrar  Straus and Giroux,Nonfiction/Science/Science: Geology/History/Environment: Nature/Travel/Biography/Science: Natural History/Science: Geography/Environment
85,The Heidi Chronicles,Wendy Wasserstein,822205106,9780822205104,3/1/2002,Dramatists Play Service,Plays/Drama/Fiction/Plays: Theatre/Feminism/Academic: Read For School/Contemporary/Womens/Literature: American/Audiobook
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,679734996,9780679734994,7/2/1991,Vintage,Plays/Drama/Plays: Theatre/Fiction/Feminism/Humor/Adult/Literature: 20th Century/Literature: American/Classics
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,1596670231,9781596670235,3/29/2006,Routledge,Teaching
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,1581807740,9781581807745,3/14/2006,North Light Books,Art: Crafts/Crafts: Beading/Nonfiction
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,800793617,9780800793616,9/1/2003,Chosen Books,Christian/Biography/Nonfiction/Religion: Faith/Religion: Christianity/Spirituality/Biography: Autobiography/Christian: Christian Non Fiction/Christian: Christian Living/Inspirational
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,871202867,9780871202864,1/28/1997,Association for Supervision & Curriculum Development,Education;Teaching
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,753454947,9780753454947,11/15/2002,Kingfisher,Classics/Fiction/Childrens/Young Adult/Historical: Historical Fiction/Childrens: Middle Grade/Historical/Childrens: Juvenile/Childrens: Childrens Classics/Literature: 19th Century
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,871209993,9780871209993,11/15/2004,ASCD,Education;Teaching
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,1852402873,9781852402877,4/28/2003,Sovereign World,Christian/Biography/Nonfiction/Religion: Faith/Religion: Christianity/Spirituality/Biography: Autobiography/Christian: Christian Non Fiction/Christian: Christian Living/Inspirational
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,761129588,9780761129585,10/16/2003,Workman Publishing Company,Parenting;Nonfiction;Reference;Self Help;Health;Family;Childrens;Adult;Unfinished;Education
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,972016414,9780972016414,5/10/2004,One Hour Entertainment,Self Help
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,1581805632,9781581805635,8/19/2004,North Light Books,Art: Crafts/Nonfiction/Reference/Crafts: Beading/Jewellery/Crafts: Jewellery Making
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,441294677,9780441294671,6/15/1987,Ace Books,Science Fiction/Fiction/Fantasy/Science Fiction Fantasy/Classics/Space: Space Opera/Novels/Audiobook/Philosophy/Space
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,441102670,9780441102679,7/1/1987,Ace Books,Science Fiction/Fiction/Fantasy/Science Fiction Fantasy/Classics/Space: Space Opera/Audiobook/Space/Adventure/Novels
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,441172695,9780441172696,7/15/1987,Ace Books,Science Fiction/Fiction/Fantasy/Classics/Science Fiction Fantasy/Space: Space Opera/Audiobook/Novels/Speculative Fiction/Space
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,765306476,9780765306470,7/1/2004,Tor Books,Biography/Nonfiction/Science Fiction Fantasy/Biography: Autobiography/Autobiography: Memoir/Philosophy/Biography Memoir
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,399128980,9780399128981,4/16/1984,Putnam,Science Fiction/Fiction/Fantasy/Science Fiction Fantasy/Classics/Space: Space Opera/Audiobook/Novels/Space/Speculative Fiction
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,765353709,9780765353702,8/29/2006,Tor Science Fiction,Science Fiction/Fiction/Fantasy/Science Fiction Fantasy/Space: Space Opera/Short Stories/Anthologies/Audiobook/Anthologies: Collections/Space
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,441328008,9780441328000,8/15/1987,Ace Books,Science Fiction/Fiction/Fantasy/Science Fiction Fantasy/Classics/Space: Space Opera/Audiobook/Novels/Space/Speculative Fiction
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,618212906,9780618212903,6/12/2002,Houghton Mifflin Harcourt,Fantasy/Art/Fiction/Classics/Culture: Film/Media Tie In/Fantasy: High Fantasy/Adventure/Science Fiction Fantasy/Adult
122,The Power of One (The Power of One  #1),Bryce Courtenay,034541005X,9780345410054,9/29/1996,Ballantine Books,Fiction/Historical: Historical Fiction/Cultural: Africa/Classics/Southern Africa: South Africa/Young Adult: Coming Of Age/Historical/Young Adult/Novels/Literature
123,The Power of One (The Power of One  #1),Bryce Courtenay,385732546,9780385732543,9/13/2005,Delacorte Books for Young Readers,Fiction/Historical: Historical Fiction/Cultural: Africa/Classics/Southern Africa: South Africa/Young Adult: Coming Of Age/Historical/Young Adult/Novels/Literature
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,785260056,9780785260059,11/1/2004,Thomas Nelson,Business;Leadership;Self Help
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,471780936,9780471780939,5/19/2006,Wiley,Business;Nonfiction;Self Help;Productivity;Leadership;Audiobook
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,325001537,9780325001531,2/7/2000,Heinemann Drama,Performing Arts
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,006076287X,9780060762872,5/3/2005,William Morrow Paperbacks,Business
133,eBay for Dummies,Marsha Collier,470045299,9780470045299,10/30/2006,Wiley,Reference/Nonfiction/Business/Computer Science: Computers/How To/Science: Technology/Computers: Internet
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,72262788,9780072262780,1/24/2006,McGraw-Hill,Business;Economics
137,Starting an eBay Business for Dummies,Marsha Collier,764569244,9780764569241,9/17/2004,Wiley,Business;Nonfiction;Reference
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,471933821,9780471933823,6/6/2006,Wiley,Computers
139,ebay Timesaving Techniques for Dummies,Marsha Collier,764559915,9780764559914,5/31/2004,Wiley,Horror;Business
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,764584383,9780764584381,4/25/2005,Wiley,Reference
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,596523696,9780596523695,7/29/2006,O'Reilly Media,Computer Science: Programming/Computer Science: Computers/Computer Science: Coding/Computer Science: Software/Science: Technology/Nonfiction/Reference/Science: Computer Science/Computer Science: Technical
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,806523492,9780806523491,5/3/2005,Citadel,Food and Drink: Cookbooks/Nonfiction
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,806525363,9780806525365,5/3/2005,Citadel,Humor
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,596527314,9780596527310,1/1/2007,O'Reilly Media,Reference/Computer Science: Programming/Computer Science: Computers
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,143035002,9780143035008,5/31/2004,Penguin Classics,Classics/Fiction/Romance/Cultural: Russia/Historical: Historical Fiction/Literature: Russian Literature/Literature/Novels/Literature: 19th Century/Historical
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,451528611,9780451528612,11/5/2002,Signet,Classics/Fiction/Romance/Cultural: Russia/Historical: Historical Fiction/Literature: Russian Literature/Literature/Novels/Literature: 19th Century/Historical
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,140449175,9780140449174,1/30/2003,Penguin Books,Classics/Fiction/Romance/Cultural: Russia/Historical: Historical Fiction/Literature: Russian Literature/Literature/Novels/Literature: 19th Century/Historical
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,822001837,9780822001836,11/26/1965,Cliffs Notes,Literary Criticism
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,1593080271,9781593080273,7/1/2003,Barnes & Noble Classics,Classics/Fiction/Romance/Cultural: Russia/Historical: Historical Fiction/Literature: Russian Literature/Literature/Novels/Literature: 19th Century/Historical
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,486437965,9780486437965,11/23/2004,Dover Publications,Classics/Fiction/Romance/Cultural: Russia/Historical: Historical Fiction/Literature: Russian Literature/Literature/Novels/Literature: 19th Century/Historical
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,1593081774,9781593081775,8/26/2004,Barnes & Noble,Classics/Fiction/Romance/Cultural: Russia/Historical: Historical Fiction/Literature: Russian Literature/Literature/Novels/Literature: 19th Century/Historical
159,Dinner with Anna Karenina,Gloria Goldreich,778322270,9780778322276,1/28/2006,Mira Books,Fiction/Writing: Books About Books/Contemporary/Womens/Womens Fiction: Chick Lit/The United States Of America/Novels/Womens Fiction
160,Tolstoy: Anna Karenina,Anthony Thorlby,521313252,9780521313254,11/26/1987,Cambridge University Press,Classics/Fiction/Literature: Russian Literature/Literature/Cultural: Russia/Novels/Unfinished/Criticism
162,Untouchable,Mulk Raj Anand/E.M. Forster,140183957,9780140183955,7/3/1990,Penguin Books,Cultural: India/Fiction/Classics/Historical: Historical Fiction/Asian Literature: Indian Literature/Cultural: Asia/Literature/Novels/Academic: School/Historical
163,The Untouchable,John Banville,679767479,9780679767473,6/30/1998,Vintage,Fiction/Historical: Historical Fiction/Cultural: Ireland/Spy Thriller: Espionage/Novels/European Literature: Irish Literature/Literature/Literary Fiction/European Literature: British Literature/Contemporary
164,The Untouchables,Eliot Ness/Oscar Fraley,1568491980,9781568491981,2/1/1996,Buccaneer Books,Nonfiction/History/Crime: True Crime/Mystery: Crime/Autobiography: Memoir/Biography/Media Tie In/North American Hi...: American History/Biography: Autobiography/Biography Memoir
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,743270797,9780743270793,9/27/2005,Scribner,Cultural: India/Nonfiction/Biography Memoir/Autobiography: Memoir/History/Biography/Biography: Autobiography/Social Movements: Social Justice/Historical/Anthropology
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,932863051,9780932863058,1/28/1995,Clarity Press,Cultural: Asia
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,742508803,9780742508804,12/20/2000,Rowman & Littlefield Publishers,Cultural: India/Biography/Politics/Autobiography: Memoir/History/Biography Memoir/Nonfiction
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,205358624,9780205358625,9/22/2003,Pearson,Social Science
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,1557344035,9781557344038,9/28/1991,Teacher Created Resources,Education
180,Wrinkles in Time,George Smoot/Keay Davidson,380720442,9780380720446,10/1/1994,Harper Perennial,Science/Science: Physics/Nonfiction/Science: Astronomy/History/Biography/Science: History Of Science/Science: Popular Science/Space
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,821925326,9780821925324,5/1/2002,EMC/Paradigm Publishing,Fantasy/Fiction/Classics/Young Adult/Science Fiction/Childrens/Childrens: Middle Grade/Science Fiction: Time Travel/Adventure/Science Fiction Fantasy
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,043927169X,9780439271691,1/1/2002,Teaching Resources,Education
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,606105263,9780606105262,6/1/1984,Turtleback Books,Fantasy/Fiction/Classics/Young Adult/Science Fiction/Childrens/Childrens: Middle Grade/Science Fiction: Time Travel/Adventure/Science Fiction Fantasy
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,751506435,9780751506433,6/1/1994,Little  Brown Book Group,Historical: Historical Fiction/Historical/Fiction/European Literature: British Literature/Romance/Historical: Stuart/Literature: 17th Century/Romance: Historical Romance
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,006078671X,9780060786717,1/3/2006,William Morrow,Mystery/Historical: Historical Fiction/Fiction/Mystery: Historical Mystery/Historical/European Literature: British Literature/Mystery: Crime/Thriller: Mystery Thriller/Mystery: Detective/Audiobook
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,743499344,9780743499347,11/1/2005,Atria Books,Travel/Nonfiction/Adventure/Biography/Autobiography: Memoir/Transport: Motorcycle/Travel: Travelogue/Biography: Autobiography/Biography Memoir/Sports: Motorcycling
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,765313405,9780765313409,3/7/2006,Tor Books,Fantasy/Fiction/Fantasy: Epic Fantasy/Fantasy: High Fantasy/Science Fiction Fantasy/Science Fiction: Steampunk/Science Fiction/Fantasy: Magic/Speculative Fiction/Epic
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,1400032490,9781400032495,8/10/2004,Vintage Crime/Black Lizard,Mystery: Crime/Fiction/Mystery/Mystery: Noir/Thriller/Novels/Mystery: Detective/Mystery: Hard Boiled/The United States Of America/Literature: American
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,1400032482,9781400032488,3/8/2005,Vintage Crime/Black Lizard,Mystery: Crime/Fiction/Mystery: Noir/Mystery/Mystery: Hard Boiled/Thriller/Mystery: Detective/Literature: American/Thriller: Mystery Thriller/Adult
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,1400032466,9781400032464,8/10/2004,Vintage Crime/Black Lizard,Mystery: Crime/Fiction/Mystery/Mystery: Noir/Mystery: Detective/Thriller/Novels/Mystery: Hard Boiled/Literature: American/The United States Of America
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,679732527,9780679732525,10/3/1990,Vintage,Fiction/Mystery: Crime/Mystery/Mystery: Noir/Art/Novels/Thriller/Literature: 20th Century/Literature: American/Thriller: Mystery Thriller
231,I am Charlotte Simmons,Tom Wolfe,312424442,9780312424442,8/30/2005,Picador USA,Fiction/Novels/Contemporary/Academic: College/Literary Fiction/Young Adult: Coming Of Age/Literature/Literature: American/Audiobook/Young Adult
